Magnitude,Location,Depth,MMI,Notes,Event,Date
7.3,"Soviet Union, Turkmen Soviet Socialist Republic",15,X,"Between 10,000 and 110,000 people were killed and the city of Ashgabat was completely destroyed.",1948 Ashgabat earthquake,05-10-1948
7.5,"Soviet Union, Tajik Soviet Socialist Republic",18,IX,"12,000 people were killed, mostly due to landslides that buried the city of Khait.",1949 Khait earthquake,10-07-1949
8.6,"India, Assam",15,XI,"It is the largest earthquake on land and the largest one to occur due to continental collision rather than plate subduction. 4,800 people were killed.",1950 Assam–Tibet earthquake,15-08-1950
6.5,El Salvador offshore,85,,"1,100 people were killed.",1951 El Salvador earthquake,06-05-1951
9,"Soviet Union, Russian Soviet Socialist Republic",21.6,XI,"Between 2,336 and 20,000 people were killed and a tsunami with a maximum height of 18 metres (59 ft).",1952 Severo-Kurilsk earthquake,04-11-1952
7.3,"Turkey, Balıkesir Province",10,IX,"1,070 people killed and US$3,570,000 in damages.",1953 Yenice–Gönen earthquake,18-03-1953
6.7,"France, Chlef Province, Algeria",15,XI,"1,243 people were killed and 5,000 injured. 6,000 homes collapsed.",1954 Chlef earthquake,09-09-1954
7.4,"Philippines, Western Mindanao",35,VIII,At least 465 people were killed and severe damage along Lanao Lake.,1955 Lanao earthquake,31-03-1955
6.4,"Iran, Hormozgan",15,VII,347 people killed.,1956 Hormozgan earthquake,31-10-1956
6.7,"Iran, Hamadan",15,VII,"1,200 people killed and major damage.",1957 Farsinaj earthquake,13-12-1957
6.7,"Iran, Lorestan",15,VII,158 people were killed as well as major damage was reported.,1958 Lorestan earthquake,16-08-1958
7.3,"United States, Wyoming",5,X,28 people were killed. Most of the deaths occurred due to landslides.,1959 Hebgen Lake earthquake,18-08-1959
5.8,"Morocco, Souss-Massa",15,X,"Worst earthquake in Moroccan history. Between 12,000-15,000 were killed.",1960 Agadir earthquake,29-02-1960
6.4,"Iran, Fars province",15,VIII,60 people were killed.,1961 Fars earthquake,11-06-1961
7,"Iran, Qazvin province",10,IX,"12,225 killed and major property damage.",1962 Buin Zahra earthquake,01-09-1962
6,"Yugoslavia, Republic of North Macedonia",15,X,"1,070 people killed and 80 percent of Skopje was destroyed.",1963 Skopje earthquake,26-07-1963
9.2,"United States, Alaska",25,XI,"It is the largest earthquake ever recorded in North America and the second largest in history, behind only the 1960 Valdivia earthquake. 131 people were killed, all but nine died from the tsunami.",1964 Alaska earthquake,28-03-1964
7.4,"Chile, Valparaíso Region",70,IX,"400 people were killed, mostly due to a dam failure caused by the quake.",1965 Valparaíso earthquake and the El Cobre dam failures,28-03-1965
6.8,"China, Hebei",20,IX,"8,064 killed and 38,000 injured. Largest in an earthquake sequence affecting the area during the month of March that year.",1966 Xingtai earthquakes,22-03-1966
6.6,"Venezuela, Vargas",25,VIII,"225 to 300 killed and 1,500+ injured. Major damage in Caracas.",1967 Caracas earthquake,30-07-1967
7.1,"Iran, South Khorasan Province",10,X,"15,900 people were killed in the earthquake and the subsequent aftershock the next day.",1968 Dasht-e Bayaz and Ferdows earthquakes,31-08-1968
6.4,"China, Guangdong",20,VIII,"3,000 killed. 46,700 houses damaged or destroyed. Felt in Hong Kong.",1969 Yangjiang earthquake,25-07-1969
7.9,"Peru, Ancash",45,VIII,"Worst earthquake in Peruvian history. Nearly 70,000 killed. Most of the deaths occurred as a result of an avalanche.",1970 Ancash earthquake,31-05-1970
6.9,"Turkey, Bingöl",10,VIII,"875 killed. 5,583 houses heavily damaged, 3,418 houses moderately damaged, and 3,638 houses slightly damaged.[1]",1971 Bingöl earthquake,22-05-1971
6.6,"Iran, Fars",10,IX,"The estimated number of deaths is 5,374, with a further 1,710 injured. Some sources say the death toll is as high as 30,000.",1972 Qir earthquake,10-04-1972
